rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
1342,8,16.5,10.28,0.59,12.7
1529,0,15.6,6.97,0.46,52.4
1355,4,10.5,9.72,0.95,49.0
1945,0,12.1,7.07,0.75,61.8
2052,5,10.9,9.83,0.85,33.4
1162,3,6.2,8.76,0.49,43.1
2689,2,9.2,8.11,0.82,44.4
1113,1,10.3,6.64,0.89,79.9
667,1,0.4,9.58,0.77,69.5
2066,1,10.5,8.86,0.98,58.1
1227,0,5.2,5.86,0.74,80.0
2024,1,12.2,8.03,0.82,63.0
500,2,9.3,7.09,0.62,58.3
2774,2,13.3,8.94,0.78,43.6
2270,2,12.8,8.54,0.77,45.5
749,1,10.0,4.03,0.9,96.8
764,3,10.8,5.72,0.7,75.8
2970,3,17.3,9.26,0.79,26.5
1283,2,10.0,8.06,0.53,43.6
1216,2,5.2,6.53,0.81,65.7
500,1,2.9,5.39,0.81,89.3
1554,3,14.7,6.7,0.67,48.9
1640,2,12.1,5.08,0.36,55.9
2300,5,20.4,10.41,0.82,32.7
820,2,18.0,7.53,0.64,62.0
735,3,13.8,8.46,0.47,44.9
2115,1,5.6,9.16,0.67,50.8
2504,1,12.0,6.66,0.62,50.7
700,0,13.3,6.22,0.73,69.9
2557,3,4.8,7.18,0.54,34.8
1826,2,8.6,5.61,0.82,66.0
2564,5,0.0,8.45,0.54,34.0
1750,4,15.5,10.15,0.66,36.3
500,0,15.8,5.26,0.57,80.7
1693,4,16.6,9.06,0.98,54.5
2542,3,3.3,6.67,0.61,48.2
1174,3,6.3,6.69,0.69,55.6
1528,6,15.8,9.79,0.48,26.1
1676,3,14.8,10.37,0.78,33.4
500,1,16.4,8.57,0.93,67.9
2969,3,13.4,8.82,0.76,29.6
1169,2,3.5,6.05,0.9,68.6
2154,3,10.1,8.39,0.74,44.6
1739,1,7.2,5.2,0.83,74.7
2680,2,11.4,8.97,0.73,37.1
2084,3,15.1,8.2,0.71,45.9
1635,4,5.2,9.94,0.78,35.5
1174,2,12.4,8.19,0.83,63.2
2358,2,3.0,7.57,0.52,45.1
500,2,10.9,8.19,0.86,81.4
2252,2,18.2,6.64,0.8,56.6
1030,2,11.1,5.31,0.59,71.5
2676,3,4.1,9.4,0.6,30.6
1912,4,17.2,8.52,0.83,40.5
2250,1,4.2,6.32,0.92,74.8
1857,3,18.3,9.64,0.6,21.9
573,3,8.0,9.16,0.82,61.3
1197,3,5.4,6.56,0.66,60.5
2270,1,17.9,7.62,0.82,46.9
1916,4,12.7,9.83,0.79,43.2
2626,3,9.9,7.99,0.73,40.5
2082,4,13.6,7.94,0.82,39.2
1123,1,2.5,4.77,0.92,87.8
1242,5,15.1,8.24,0.69,39.2
1872,3,13.8,8.46,0.61,40.9
500,3,1.4,4.81,0.9,96.8
2971,3,17.0,8.03,0.38,13.0
2109,3,8.3,9.07,0.63,34.1
2658,4,12.3,8.39,0.64,32.6
693,2,8.1,8.54,0.56,61.2
2671,2,16.4,8.5,0.73,38.8
3362,5,14.9,12.91,0.7,4.3
875,1,9.5,5.97,0.78,76.7
2339,2,10.4,9.93,0.62,32.0
1800,4,14.3,8.87,0.64,46.8
718,2,14.5,6.97,0.47,66.9
2145,2,14.2,8.61,0.69,53.7
2383,4,13.1,8.0,0.83,34.4
1379,1,12.7,7.6,0.82,64.0
2616,2,12.0,8.67,0.74,42.6
633,5,3.1,9.65,0.69,50.6
753,3,2.9,8.6,0.68,52.9
1895,1,14.0,9.49,0.81,42.8
1817,1,9.7,7.05,0.77,63.7
1298,2,9.4,8.48,0.78,54.4
2366,2,6.6,6.93,0.51,49.8
2171,2,14.2,8.14,0.61,44.5
2400,3,9.9,9.75,0.62,38.7
1713,1,0.0,6.33,0.58,67.1
2221,1,0.0,8.09,0.84,55.5
1488,4,14.0,8.51,0.65,34.3
3237,2,6.0,8.09,0.53,26.9
1231,4,6.8,8.19,0.65,57.3
3273,5,13.5,9.31,0.45,6.7
1824,6,17.1,9.5,0.52,19.2
837,1,15.3,5.56,0.75,73.3
2757,1,9.3,8.26,0.88,58.2
1888,3,15.2,9.77,0.88,37.6
2395,2,3.1,5.83,0.77,59.2
2656,1,15.5,9.95,0.58,34.1
2036,1,0.0,7.7,0.65,62.9
1385,4,14.7,8.08,0.91,49.0
2482,1,5.8,6.54,0.43,47.2
1800,4,11.5,10.17,0.39,24.7
2280,2,8.1,7.19,0.82,58.8
500,1,7.1,8.55,0.66,68.4
2112,6,13.7,10.22,0.76,18.3
1352,1,17.5,7.71,0.6,53.5
2957,7,21.9,11.11,0.52,0.0
2236,5,17.0,8.62,0.72,31.4
1967,6,13.6,9.62,0.48,25.4
2140,5,15.5,11.04,0.45,12.2
1101,1,5.8,5.37,0.49,75.2
2936,2,12.1,9.63,0.58,24.6
3193,1,8.7,8.63,0.89,44.0
2075,4,15.3,7.98,0.67,34.3
2913,4,10.5,9.77,0.83,22.3
1401,4,17.7,9.0,0.69,43.2
1242,1,9.5,7.0,0.76,67.9
1828,2,9.4,9.72,0.54,44.8
2104,4,16.6,9.13,0.47,26.7
1524,0,16.1,7.2,0.83,65.3
2176,3,11.7,9.14,0.46,32.1
2014,3,10.7,10.37,0.81,41.4
1101,1,11.3,7.34,0.76,73.1
2163,3,9.3,7.49,0.83,56.5
2404,1,3.7,6.09,0.68,67.3
1920,6,11.9,10.23,0.42,2.2
2606,2,16.8,8.38,0.85,46.2
947,4,10.3,6.89,0.64,66.1
2127,2,11.6,6.17,0.67,57.3
980,4,4.5,8.28,0.85,67.1
1020,1,3.6,5.29,1.0,94.0
1358,0,13.3,8.37,0.45,50.2
1140,2,12.6,7.35,0.62,56.0
1416,3,12.3,6.7,0.6,55.8
1650,2,3.9,6.41,0.49,59.7
2386,2,11.3,10.14,0.77,37.1
1575,1,9.8,6.94,0.6,56.3
690,2,10.6,5.43,0.63,72.1
2598,2,6.5,9.38,0.57,37.5
1214,3,15.2,7.86,0.62,46.2
1758,1,5.3,7.33,0.43,54.1
2112,3,10.3,7.83,0.41,39.9
1939,4,2.5,7.64,0.3,38.2
2565,1,8.9,6.1,0.74,57.0
2135,0,2.2,6.51,0.98,76.3
1197,7,17.3,10.59,0.62,15.4
3324,3,11.8,7.72,0.71,38.7
1936,2,10.4,6.44,0.66,54.6
1696,6,9.3,8.98,0.61,32.0
2474,2,3.0,8.05,0.73,57.1
1974,1,8.9,7.41,0.65,64.3
2079,1,0.6,5.47,0.53,65.9
3544,4,19.0,9.51,0.85,17.5
1607,2,11.8,6.76,0.48,55.0
1577,2,14.6,9.76,0.5,37.6
1881,4,17.6,7.55,0.63,45.0
2550,4,14.4,8.15,0.7,35.3
745,0,7.6,6.28,0.81,95.5
500,3,11.0,8.09,0.8,60.0
1389,2,16.8,6.1,0.71,58.4
656,3,8.8,6.03,0.82,63.4
1502,3,10.9,7.31,0.5,47.9
2151,3,6.8,7.43,0.89,45.7
1176,2,7.3,7.37,0.49,62.2
801,0,5.8,7.26,0.55,77.9
1848,1,8.3,6.22,0.7,62.1
2403,4,12.1,9.14,0.71,36.5
613,4,13.3,8.14,0.76,58.7
2374,4,14.3,9.94,0.38,12.6
2372,2,11.1,9.61,0.71,39.7
2467,4,20.3,9.5,0.53,17.6
2652,2,10.1,6.3,0.61,43.6
3341,4,13.1,9.57,0.95,31.6
1550,3,15.0,6.14,0.75,56.8
1876,3,5.8,6.95,0.58,62.2
1508,2,9.3,8.72,0.72,56.0
1801,4,14.6,8.11,0.33,27.6
2873,3,13.8,7.58,0.5,29.6
858,2,8.2,7.28,0.63,72.2
1197,4,14.1,8.04,0.62,57.9
2764,2,3.6,6.84,0.67,45.9
2514,4,18.1,8.76,0.7,23.1
1545,3,14.0,7.07,0.64,51.3
2398,1,9.1,6.7,0.76,57.8
2038,1,10.5,7.1,0.67,57.1
2850,5,10.5,8.85,0.55,16.9
1852,1,15.8,8.57,0.79,49.3
2517,3,20.3,11.74,0.58,13.3
3649,4,4.9,9.94,0.76,22.7
2218,1,12.4,6.98,0.74,62.1
1834,2,14.1,8.64,0.7,56.7
2305,1,11.5,8.94,1.0,55.1
1544,0,3.4,7.83,0.58,66.6
3471,1,6.4,6.95,0.94,48.4
1926,0,0.0,6.09,0.71,74.2
1608,3,6.0,7.33,0.65,56.9
1215,2,19.7,9.65,0.73,56.3
2568,4,5.7,7.59,0.63,43.9
2407,6,21.4,8.38,0.5,11.2
1451,3,13.8,8.37,0.59,48.5
2203,3,9.9,10.42,0.86,42.1
744,2,9.9,8.61,0.63,62.4
1929,3,17.3,10.34,0.67,28.5
2116,0,2.0,6.37,0.41,68.4
2995,4,10.7,9.75,0.69,24.2
1260,5,17.5,8.19,0.67,47.0
905,5,11.5,8.54,0.44,33.3
1173,3,20.0,7.94,0.91,63.7
864,6,17.9,10.48,0.58,16.2
2735,7,12.2,11.26,0.66,0.0
2884,2,13.2,7.53,0.53,32.1
2024,4,11.3,8.27,0.73,40.0
2654,2,3.6,5.68,0.6,47.4
1893,2,16.6,9.45,0.62,40.0
1733,2,2.6,8.21,0.59,55.8
1566,2,15.7,7.92,0.73,61.4
1582,2,8.8,8.39,0.85,55.9
716,3,19.7,6.68,0.79,64.0
1984,6,17.1,7.91,0.51,26.9
1771,2,12.6,8.32,0.52,45.3
2321,3,11.7,9.37,0.49,33.1
1865,1,6.5,5.68,0.76,74.6
1686,1,12.5,6.68,0.57,54.8
1190,1,7.9,6.49,0.69,75.2
1850,1,6.9,7.19,0.86,67.5
2316,4,10.9,8.73,0.48,28.8
999,0,7.4,4.69,0.99,100.0
1861,4,17.4,9.04,0.73,41.7
1963,3,8.0,7.38,0.6,51.4
1297,3,6.5,9.02,0.71,51.8
1388,2,11.8,8.95,0.79,50.9
1961,2,10.1,6.04,0.85,64.3
1006,1,9.1,8.51,0.47,60.9
2044,2,15.2,8.73,0.73,35.6
1173,4,10.9,9.87,0.53,41.5
2543,3,14.3,6.9,0.87,43.3
3436,5,21.5,10.1,0.56,3.2
1197,4,13.5,9.27,0.75,50.1
2173,1,9.6,8.06,1.0,64.4
1291,2,4.0,7.08,0.46,50.9
2528,2,16.4,9.02,0.72,45.9
914,1,5.9,7.58,0.93,82.0
2136,3,14.4,8.7,0.76,43.9
1188,2,16.1,8.51,0.92,56.7
1655,7,24.1,9.8,0.52,6.3
1078,0,0.0,7.27,0.88,86.8
2375,1,8.7,7.98,1.0,56.4
1214,2,17.6,6.73,0.74,55.2
2186,2,12.6,9.79,1.0,49.9
1559,4,10.7,8.29,0.61,45.9
1719,2,8.1,8.41,0.7,50.8
1903,2,8.7,8.21,0.65,43.0
1266,2,17.9,7.88,0.81,51.9
1947,4,3.5,8.48,0.55,41.0
2871,3,9.8,8.45,0.77,35.0
1255,4,14.5,9.45,0.49,40.2
2620,1,7.1,4.82,0.84,79.3
2848,3,18.7,11.18,0.73,12.3
1228,2,6.9,7.66,0.83,64.2
781,3,14.0,7.48,0.35,53.8
2011,2,9.4,7.15,0.59,47.2
1416,1,5.5,7.59,0.93,73.1
3108,6,12.5,11.73,0.37,0.0
1824,2,13.6,9.99,0.72,43.4
1238,1,10.2,5.55,0.78,85.4
996,1,4.3,9.1,0.69,62.6
2562,3,20.0,10.04,0.68,27.6
1400,5,15.5,7.73,0.44,33.6
1830,5,7.3,8.2,0.62,38.1
2469,4,6.7,9.36,0.58,28.0
1461,1,6.2,7.86,0.83,70.5
1767,3,21.5,7.52,0.82,50.3
1788,0,6.3,7.95,0.69,59.7
2278,5,13.6,12.49,0.68,5.2
2213,1,7.6,7.76,0.73,56.6
1645,4,6.2,7.05,0.46,49.3
1844,2,3.1,7.68,0.64,68.4
1539,1,3.7,6.52,0.6,65.7
765,3,12.0,6.39,0.72,65.7
1980,2,8.1,5.44,0.55,59.8
3124,4,11.1,8.38,0.64,26.0
1181,4,15.8,6.37,0.73,50.7
1258,2,15.7,7.86,0.55,53.3
1190,5,8.0,10.01,0.8,44.6
2307,2,4.7,8.53,0.94,50.2
2113,4,6.7,10.47,0.46,23.2
1689,6,7.5,8.26,0.51,31.3
1157,2,13.0,9.34,0.59,49.8
1864,5,11.0,7.85,0.62,38.7
704,3,5.7,7.72,0.56,55.8
1900,6,13.0,7.8,0.71,39.7
2410,5,12.1,8.59,0.51,28.1
924,3,14.8,8.51,0.79,48.1
727,3,14.3,7.4,0.58,48.5
2905,7,11.4,9.44,0.72,15.3
1371,4,12.8,6.35,0.75,54.6
2595,1,5.5,8.36,0.64,53.8
1692,5,11.2,7.12,0.69,46.0
1686,3,0.8,9.34,0.51,49.6
2106,1,1.9,7.98,0.84,60.5
1181,0,0.8,6.2,0.7,77.9
1892,2,8.5,7.16,0.68,55.5
1532,1,7.4,7.72,0.62,66.3
875,4,14.6,7.56,0.78,59.0
2036,3,13.2,6.66,0.82,62.5
1615,4,13.9,8.31,0.5,31.7
1690,2,17.0,7.82,0.47,37.1
952,1,3.7,5.86,0.62,74.6
2913,1,5.9,8.3,0.74,51.0
2413,2,16.7,5.69,0.51,53.1
2474,2,8.6,7.11,0.51,45.4
1586,2,10.3,6.25,0.53,53.9
589,3,12.3,5.46,0.47,57.8
3167,3,4.2,8.19,0.74,33.8
1757,2,6.5,8.33,0.68,57.0
1275,2,6.1,9.3,0.87,54.9
2091,2,17.2,10.29,0.52,23.8
2616,3,5.0,8.74,0.56,32.1
1783,2,5.1,8.2,0.85,63.0
2695,3,12.1,8.61,0.66,27.6
2558,3,5.7,6.5,0.75,49.9
1046,4,12.3,7.75,0.55,39.9
1328,2,15.0,4.7,0.69,71.0
2470,1,8.4,5.33,0.39,50.1
500,0,8.1,6.66,0.95,88.4
1695,2,10.4,8.22,0.8,54.2
798,1,3.6,5.16,0.42,72.8
1466,2,8.4,8.27,0.66,52.4
1590,2,9.1,6.96,0.78,65.7
1549,3,13.1,5.61,0.73,55.5
1413,2,0.2,7.33,0.73,72.0
1031,3,19.0,8.15,0.76,52.5
3404,4,17.3,10.73,0.6,9.6
3107,4,14.7,10.31,0.56,7.8
986,0,7.2,3.5,0.81,93.5
2907,4,5.1,9.35,0.55,26.9
1520,2,9.9,6.18,0.77,64.6
1890,3,13.6,8.69,0.68,35.0
1755,4,6.2,8.39,0.7,57.6
1338,6,19.1,9.46,0.7,19.2
2488,1,0.3,6.0,0.94,74.3
1888,6,24.2,10.79,0.58,11.8
1466,3,11.9,10.24,0.59,39.4
886,1,8.6,6.45,0.67,68.1
1174,1,11.5,7.18,0.84,79.4
651,3,5.3,8.37,0.64,53.8
1808,2,17.3,7.16,0.8,51.1
962,0,11.7,7.27,0.76,71.0
1614,5,20.5,9.46,0.8,38.1
2759,3,11.3,10.07,0.7,36.9
2639,1,1.1,8.38,0.62,47.5
1777,2,3.5,7.38,0.88,70.5
1739,2,15.6,8.24,0.59,43.9
3115,4,12.0,8.82,0.51,14.5
2164,2,14.2,7.94,0.77,56.1
1570,2,17.5,9.6,0.56,29.9
801,4,17.9,9.96,0.67,41.5
2075,4,16.7,8.01,0.64,39.1
2380,10,17.2,12.98,0.5,0.0
1357,5,25.0,8.44,0.92,42.5
2003,5,9.3,8.65,0.69,37.7
1545,1,13.3,8.99,0.69,46.0
1671,4,14.5,9.74,1.0,40.5
500,1,12.0,5.14,0.86,84.1
1644,4,6.2,8.9,0.59,43.9
2478,4,22.2,9.43,0.87,23.6
1358,0,0.0,7.63,0.47,68.4
1836,1,0.0,7.8,0.71,63.6
1270,4,3.8,9.08,0.57,47.8
2052,4,18.0,8.64,0.65,39.2
1648,4,3.4,8.77,0.67,42.3
1142,4,8.3,7.25,0.58,55.0
2732,6,15.1,9.4,0.71,23.7
2450,4,15.2,7.92,0.8,46.2
1376,1,7.0,6.35,0.53,63.7
2148,6,23.1,11.22,0.37,0.0
2176,5,11.7,9.89,0.85,32.2
2249,3,16.0,10.01,0.6,27.5
614,2,18.5,7.61,0.44,50.3
2504,1,8.2,5.38,0.7,65.4
1401,2,6.4,7.65,0.75,59.2
1549,1,2.9,8.84,0.81,59.6
3646,4,13.7,10.03,0.71,10.1
2011,1,14.2,8.79,0.71,37.1
1529,3,11.7,9.27,0.45,28.5
500,0,7.1,5.25,0.75,93.9
2772,3,1.1,7.4,0.76,50.5
858,2,11.1,7.74,0.86,69.6
1097,0,6.4,7.27,0.81,80.4
1568,1,8.8,5.75,0.91,75.3
2791,7,14.2,10.04,0.38,6.4
2341,1,16.3,8.86,0.73,39.4
1689,5,14.9,7.58,0.56,29.8
2015,4,13.3,8.55,0.91,43.6
1379,5,20.3,7.09,0.73,43.1
1897,4,14.1,9.74,1.0,47.0
1851,2,15.2,6.14,0.73,60.1
2478,2,14.5,8.01,0.81,52.6
2477,1,11.8,8.78,0.77,48.6
2145,4,11.3,7.95,0.46,25.0
1546,3,13.0,7.05,0.61,51.1
2319,1,10.7,10.26,0.74,42.4
1735,2,20.2,7.7,0.49,42.4
1042,3,11.1,9.63,0.66,46.1
1517,3,13.6,10.43,0.47,29.8
1859,2,8.6,7.83,1.0,63.0
2437,2,9.2,6.58,0.86,55.1
1671,4,11.0,7.59,0.71,47.9
953,3,6.0,7.34,0.8,66.3
1839,5,15.9,6.26,0.81,44.0
1879,4,10.2,8.93,0.85,46.4
1930,4,17.6,8.85,0.67,32.1
2443,3,17.3,9.3,0.64,21.4
2513,2,9.7,9.27,0.75,44.3
1384,1,12.7,8.83,0.74,47.9
1368,4,0.7,8.01,0.44,34.7
1071,2,9.9,6.98,0.42,56.6
2289,3,10.0,6.58,0.81,52.3
2814,3,17.3,8.33,0.8,34.6
1579,0,5.8,7.69,0.74,71.1
1630,2,15.1,7.58,0.54,51.8
2826,3,15.8,8.77,0.57,26.0
2153,2,0.0,7.51,0.78,57.8
2105,3,13.2,8.5,0.62,37.2
966,1,17.6,8.59,0.54,46.1
2275,2,13.8,8.82,0.74,52.2
1149,1,8.8,6.63,0.63,69.2
1006,2,4.7,7.66,0.81,68.8
1557,3,7.0,7.52,0.7,66.2
1389,1,13.7,4.57,0.88,73.6
1644,5,1.0,5.8,0.51,55.3
791,1,11.8,4.61,0.92,87.5
2471,5,14.7,6.97,0.43,31.9
2589,3,10.7,8.16,0.62,32.6
500,5,14.5,8.53,0.45,44.0
2484,5,9.5,9.26,0.41,16.1
1232,2,14.9,4.75,0.55,66.5
2399,4,12.6,8.56,0.48,28.2
1752,5,15.9,9.08,0.92,37.1
1820,2,4.5,6.82,0.64,52.8
1670,1,5.4,4.31,0.76,80.0
2648,1,10.7,10.22,0.66,26.4
932,2,20.9,7.84,0.71,53.4
2225,1,11.9,8.63,0.75,51.2
2570,3,20.1,9.37,0.51,18.2
2301,1,20.0,6.16,0.72,55.9
3427,5,13.0,10.19,0.37,0.0
1429,1,15.6,7.08,0.65,51.1
2470,3,11.7,9.08,0.71,31.2
1725,4,9.2,9.88,0.77,32.5
2663,6,21.7,10.93,0.45,3.3
1794,2,10.4,6.3,0.89,67.3
1528,2,9.3,7.05,0.86,58.1
2714,2,15.8,7.22,0.59,35.6
1455,2,7.8,7.08,0.54,51.2
811,1,6.8,6.03,0.63,69.4
1438,0,11.7,6.9,0.51,57.5
2233,3,14.9,7.11,0.48,34.4
2774,3,13.4,7.6,0.47,33.5
1877,1,12.5,8.06,0.77,59.6
2722,3,18.5,10.6,0.75,20.9
849,3,8.2,9.3,0.97,62.0
1489,3,16.1,8.4,0.8,57.7
1597,3,15.5,7.89,0.66,52.2
1719,3,27.0,6.22,0.6,42.9
1858,2,17.4,7.73,0.89,47.6
2283,3,9.9,8.72,0.48,34.7
1488,1,11.4,8.9,0.73,47.9
1897,2,11.9,8.56,0.51,46.5
1768,4,24.7,7.98,0.72,34.6
1151,2,15.0,8.49,0.89,63.4
1720,0,7.0,8.14,0.52,49.7
1699,2,9.7,6.48,0.98,73.3
1684,0,5.9,5.92,0.61,66.3
1822,2,8.6,9.34,0.58,39.5
1852,0,16.5,8.76,0.77,60.8
1497,3,11.4,8.76,0.49,43.1
2690,5,21.4,8.76,0.91,32.6
981,4,14.7,7.67,0.39,39.7
1295,3,6.7,8.82,0.54,39.1
3745,2,5.6,8.06,0.56,28.3
1073,2,8.1,9.06,0.83,60.0
852,3,17.0,9.65,0.55,32.3
2314,3,13.4,9.85,0.78,39.8
500,3,2.7,6.89,0.69,70.8
1635,3,8.7,7.35,0.65,50.9
3302,2,10.8,8.34,0.48,32.0
718,1,10.2,5.08,0.63,81.6
500,2,2.9,6.09,0.58,74.6
750,1,4.7,7.06,0.53,66.3
2428,4,12.2,9.01,0.54,33.9
2587,2,4.7,9.14,0.82,44.5
1441,5,8.0,10.8,0.58,20.6
2278,1,7.7,8.15,0.81,59.6
2773,1,14.0,9.07,0.65,35.6
3051,5,14.7,8.09,0.54,13.4
1627,5,10.1,8.74,0.73,37.3
500,1,10.1,8.29,0.71,71.8
1225,3,8.6,5.44,0.41,65.1
1501,3,14.1,8.89,0.64,38.6
1618,3,7.3,7.66,0.58,48.2
1668,2,7.1,8.16,0.71,59.0
2583,3,11.6,7.34,0.82,46.3
2692,4,16.2,12.07,0.73,7.6
1679,3,15.7,8.92,0.55,37.6
2568,2,13.6,8.92,0.59,38.1
2050,1,19.7,8.93,0.7,48.5
1845,3,13.2,8.97,0.8,38.7
2434,4,14.6,8.36,0.37,17.1
1850,3,11.0,9.67,0.6,46.4
3240,3,7.7,8.21,0.67,42.4
793,2,10.2,9.29,0.87,56.6
1439,5,14.0,9.15,0.73,36.6
1711,2,9.5,8.51,0.82,56.0
2107,6,14.0,8.8,0.23,7.1
2687,6,22.3,9.98,0.75,18.3
1782,3,6.0,9.63,0.78,42.9
804,1,6.2,7.85,0.82,77.7
2389,5,10.4,8.92,0.66,32.7
2328,10,25.3,12.77,0.51,0.0
500,2,16.3,8.62,0.75,57.4
1797,2,9.6,7.29,0.75,62.6
686,3,8.1,6.78,0.62,60.3
1334,1,8.3,5.71,0.88,75.0
1168,5,22.1,9.8,0.61,38.1
2366,5,4.7,9.71,0.53,20.7
1881,0,8.2,4.36,0.76,78.6
900,1,7.9,7.58,0.65,62.8
2416,1,5.4,8.09,0.77,51.3
796,2,12.7,7.27,0.75,69.2
2031,2,9.9,9.08,0.58,42.5
1230,3,7.0,6.61,0.74,64.6
1544,2,19.1,6.46,0.37,47.2
2152,3,6.4,8.18,0.79,54.1
2165,4,13.0,9.64,0.72,35.2
2735,2,10.8,9.29,0.63,28.6
1742,2,13.1,8.23,0.53,50.5
2014,3,10.1,8.69,0.63,35.7
1493,7,13.0,9.1,0.46,20.2
1927,0,13.6,8.27,0.82,53.9
2107,0,4.4,6.74,1.0,71.9
1731,3,1.7,7.63,0.73,52.2
537,4,11.9,5.28,0.64,63.3
2032,2,16.4,7.81,0.86,49.2
2055,2,12.1,7.53,0.71,52.3
1323,3,7.4,7.83,0.61,53.3
900,2,12.8,5.77,0.51,70.2
2833,5,13.2,8.06,0.43,24.4
2144,1,9.1,7.07,0.67,51.8
1639,1,4.3,8.05,0.55,61.0
1004,5,16.4,9.45,0.69,37.7
1224,3,13.0,6.92,0.67,49.9
2711,2,6.2,6.69,0.59,57.9
1896,6,20.5,9.62,0.76,23.7
1414,5,14.7,10.02,0.65,25.5
2156,1,15.3,7.88,0.83,53.5
1229,1,4.1,9.51,0.8,58.2
2850,5,19.2,9.34,0.52,8.2
2746,3,11.8,7.74,0.64,41.7
1473,0,9.0,8.18,1.0,70.7
1359,3,19.6,9.74,0.42,23.7
500,1,10.1,4.16,0.84,88.7
762,1,8.6,5.58,0.59,80.0
862,1,10.2,5.77,0.75,73.5
1894,3,15.6,7.23,0.76,52.3
1571,3,9.4,7.59,0.65,44.2
858,1,3.6,8.14,0.79,75.5
1603,6,11.5,8.61,0.22,26.7
2153,5,13.3,11.29,0.61,15.8
2169,1,6.5,7.94,0.82,66.0
500,0,6.2,7.37,0.57,71.2
1710,0,10.9,6.74,0.69,60.3
831,2,12.5,9.22,0.78,59.1
2431,3,4.2,8.76,0.68,44.9
2348,3,12.6,8.06,0.83,39.0
1171,2,17.5,9.21,0.57,40.2
1263,2,9.7,7.54,0.73,61.8
1477,4,9.7,9.65,0.59,36.9
500,2,21.4,6.53,0.84,70.5
2035,2,11.5,6.27,0.62,56.3
1609,5,13.7,8.54,0.57,35.0
2479,2,13.8,9.57,0.77,32.7
1031,2,7.9,5.3,0.5,65.4
1366,4,10.6,8.42,0.81,47.4
745,3,11.3,8.17,0.39,44.1
1096,2,16.1,9.56,0.53,37.1
972,3,18.5,8.92,0.62,39.8
2497,5,12.9,9.07,0.3,9.5
1311,2,5.1,7.8,0.52,49.3
1886,4,11.7,9.13,0.75,38.8
1533,5,12.5,9.06,0.49,33.0
911,3,8.1,7.61,0.51,54.8
1682,1,12.4,6.06,0.72,74.0
2219,3,19.1,7.77,0.73,40.0
954,3,18.0,7.84,0.57,43.6
2366,2,10.0,10.51,0.75,35.5
1205,3,6.9,7.41,0.8,59.1
1461,0,13.0,6.84,0.64,66.8
2171,2,7.3,6.7,0.85,55.2
1335,1,1.3,7.71,0.86,81.6
1826,4,19.7,10.22,0.83,38.5
1579,3,7.5,5.29,0.62,59.6
1890,6,19.8,7.51,0.68,32.8
500,3,9.6,8.67,0.88,64.2
519,2,4.2,8.97,0.64,67.1
2231,2,6.5,6.85,0.94,73.8
2526,3,0.0,8.84,0.68,44.4
1162,2,4.1,6.23,0.67,75.1
1629,3,15.0,5.91,0.47,53.4
2006,1,7.5,6.77,0.82,65.2
2285,6,15.5,8.27,0.85,27.0
500,2,14.3,9.67,0.48,49.9
1179,0,14.6,5.9,0.82,79.6
1567,1,14.7,7.57,0.85,68.3
2292,5,19.1,10.01,0.5,16.4
3548,4,6.8,8.94,0.61,16.9
1640,2,2.9,7.14,0.76,64.9
815,1,0.1,5.66,0.48,73.5
2081,5,14.8,7.5,0.6,36.8
2724,5,19.2,11.94,0.41,0.0
1875,4,13.4,8.16,0.78,52.3
1165,5,15.2,7.39,0.7,51.2
2470,2,19.4,8.35,0.61,34.3
2264,1,11.5,7.23,0.75,60.6
1081,1,7.0,8.59,0.31,42.9
2066,0,0.0,5.58,0.84,79.6
2498,3,17.9,9.41,0.75,23.8
2627,2,9.4,9.55,0.62,30.2
1753,1,12.0,6.36,0.98,68.9
1549,0,0.0,6.13,0.81,81.7
2659,3,14.9,7.75,0.7,46.3
952,2,9.9,6.59,0.89,82.9
2107,4,2.6,6.75,0.79,55.0
840,3,5.5,6.98,0.61,52.6
2545,2,5.8,7.83,0.76,51.8
1619,2,6.4,6.34,0.88,72.1
2688,4,6.6,8.64,0.78,42.7
2143,3,10.6,9.21,0.72,45.0
943,3,15.0,8.93,0.62,41.6
2797,1,11.7,8.46,0.76,36.6
2885,5,12.1,8.91,0.52,14.9
2417,2,13.8,6.07,0.68,56.8
1266,1,22.8,9.8,0.66,47.7
1585,2,11.2,8.17,0.63,50.0
1901,6,9.0,8.93,0.54,21.6
1307,1,9.4,5.53,0.92,87.2
2984,6,15.8,10.57,0.47,0.0
1901,4,5.1,10.61,0.76,32.0
500,3,14.5,6.74,0.64,54.7
2037,4,10.3,10.0,0.9,35.6
1556,1,14.2,8.49,0.97,65.1
1747,3,11.3,7.47,0.62,49.5
1541,2,10.0,5.97,0.5,39.8
2364,3,16.6,8.68,0.54,28.3
2583,3,8.7,9.14,0.97,44.9
1998,0,1.8,7.6,0.79,62.8
1562,1,9.0,5.18,1.0,87.9
1771,1,1.1,8.61,0.99,67.8
1813,2,5.9,8.4,0.93,59.1
1238,2,15.9,7.69,0.62,50.7
2205,6,12.4,10.57,0.76,15.8
2122,2,11.8,8.53,0.79,45.7
2878,2,0.0,8.62,0.91,51.6
2678,3,15.1,7.88,0.54,44.3
1320,6,10.8,8.0,0.58,44.4
2374,4,9.8,8.87,0.77,40.9
1134,0,12.7,6.39,1.0,77.6
